"region","name","year","group","macro"
"Івано-Франківська","Алісія","2015","західні","Захід"
"Івано-Франківська","Ванесса","2015","західні","Захід"
"Івано-Франківська","Домініка","2015","західні","Захід"
"Івано-Франківська","Ірма","2015","звичайні","Захід"
"Івано-Франківська","Йолана","2015","східноєвропейські","Захід"
"Івано-Франківська","Йордана","2015","східноєвропейські","Захід"
"Івано-Франківська","Каріна","2015","звичайні","Захід"
"Івано-Франківська","Кармен","2015","західні","Захід"
"Івано-Франківська","Миколая","2015","інші","Захід"
"Івано-Франківська","Ніколь","2015","західні","Захід"
"Івано-Франківська","Павліна","2015","східноєвропейські","Захід"
"Івано-Франківська","Стела","2015","західні","Захід"
"Івано-Франківська","Юліанія","2015","церковні","Захід"
"Івано-Франківська","Ясміна","2015","східні","Захід"
"Івано-Франківська","Адам","2015","звичайні","Захід"
"Івано-Франківська","Аркадій","2015","українські","Захід"
"Івано-Франківська","Власій","2015","церковні","Захід"
"Івано-Франківська","Веніамін","2015","біблійні","Захід"
"Івано-Франківська","Демір","2015","східні","Захід"
"Івано-Франківська","Іларіон","2015","церковні","Захід"
"Івано-Франківська","Йонатан","2015","біблійні","Захід"
"Івано-Франківська","Кевін","2015","західні","Захід"
"Івано-Франківська","Марк","2015","звичайні","Захід"
"Івано-Франківська","Мартін","2015","західні","Захід"
"Івано-Франківська","Натан","2015","біблійні","Захід"
"Івано-Франківська","Нікіта","2015","російські","Захід"
"Івано-Франківська","Устим","2015","українські","Захід"
"Івано-Франківська","Ярема","2015","українські","Захід"
"Івано-Франківська","Аврора","2016","греко_римські","Захід"
"Івано-Франківська","Глорія","2016","західні","Захід"
"Івано-Франківська","Домініка","2016","західні","Захід"
"Івано-Франківська","Єремія","2016","біблійні","Захід"
"Івано-Франківська","Жасміна","2016","східні","Захід"
"Івано-Франківська","Іларія","2016","західні","Захід"
"Івано-Франківська","Ірма","2016","звичайні","Захід"
"Івано-Франківська","Каміла","2016","західні","Захід"
"Івано-Франківська","Крістіна","2016","російські","Захід"
"Івано-Франківська","Ліана","2016","старовинні","Захід"
"Івано-Франківська","Лія","2016","старовинні","Захід"
"Івано-Франківська","Неллі","2016","старовинні","Захід"
"Івано-Франківська","Тереза","2016","західні","Захід"
"Івано-Франківська","Тіна","2016","західні","Захід"
"Івано-Франківська","Сюзанна","2016","західні","Захід"
"Івано-Франківська","Амелія","2016","західні","Захід"
"Івано-Франківська","Бестіна","2016","інші","Захід"
"Івано-Франківська","Євангеліна","2016","біблійні","Захід"
"Івано-Франківська","Жанна","2016","звичайні","Захід"
"Івано-Франківська","Златослава","2016","українські","Захід"
"Івано-Франківська","Йордана","2016","східноєвропейські","Захід"
"Івано-Франківська","Кіра","2016","старовинні","Захід"
"Івано-Франківська","Лея","2016","інші","Захід"
"Івано-Франківська","Луїза","2016","західні","Захід"
"Івано-Франківська","Магдалина","2016","біблійні","Захід"
"Івано-Франківська","Медея","2016","греко_римські","Захід"
"Івано-Франківська","Муза","2016","греко_римські","Захід"
"Івано-Франківська","Неля","2016","старовинні","Захід"
"Івано-Франківська","Суламіта","2016","біблійні","Захід"
"Івано-Франківська","Тімея","2016","греко_римські","Захід"
"Івано-Франківська","Філомена","2016","греко_римські","Захід"
"Івано-Франківська","Юліанна","2016","інші","Захід"
"Івано-Франківська","Даніеле","2016","західні","Захід"
"Івано-Франківська","Варфоломій","2016","церковні","Захід"
"Івано-Франківська","Дан","2016","біблійні","Захід"
"Івано-Франківська","Еммануїл","2016","біблійні","Захід"
"Івано-Франківська","Еміліан","2016","греко_римські","Захід"
"Івано-Франківська","Єлісей","2016","біблійні","Захід"
"Івано-Франківська","Іоанн","2016","церковні","Захід"
"Івано-Франківська","Мартін","2016","західні","Захід"
"Івано-Франківська","Тімур","2016","східні","Захід"
"Івано-Франківська","Устим","2016","українські","Захід"
"Івано-Франківська","Адам","2016","звичайні","Захід"
"Івано-Франківська","Антоній","2016","церковні","Захід"
"Івано-Франківська","Веремій","2016","українські","Захід"
"Івано-Франківська","Жан","2016","західні","Захід"
"Івано-Франківська","Захар","2016","українські","Захід"
